floor,slot_type,machine_count
floor_1,NIB,0.0
floor_1,DIR,150.0
floor_1,DOR,0.0
floor_1,GRP,0.0
floor_1,HDD,0.0
floor_1,MOL,0.0
floor_1,BLJ,136.36363636363637
floor_2,NIB,200.0
floor_2,DIR,0.0
floor_2,DOR,0.0
floor_2,GRP,0.0
floor_2,HDD,125.0
floor_2,MOL,40.625
floor_2,BLJ,0.0
floor_3,NIB,0.0
floor_3,DIR,0.0
floor_3,DOR,39.6875
floor_3,GRP,27.045454545454543
floor_3,HDD,0.0
floor_3,MOL,59.375
floor_3,BLJ,0.0
floor_4,NIB,0.0
floor_4,DIR,0.0
floor_4,DOR,60.3125
floor_4,GRP,0.0
floor_4,HDD,0.0
floor_4,MOL,0.0
floor_4,BLJ,113.63636363636363
